order,score,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24
"['Jan', 'Feb', 'Mar', 'Apr']",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.374767010466867,12.374767010466867,12.374767010466867
"['Apr', 'Mar', 'Feb', 'Jan']",96.2707772474806,0.0,0.0,0.0,0.0,0.0,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087,27.60778474483087
"['Jan', 'Mar', 'Feb', 'Apr']",61.678613264805136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.744984884037965,19.744984884037965,19.744984884037965,19.744984884037965,19.744984884037965,19.744984884037965
"['Apr', 'Jan', 'Feb', 'Mar']",52.98274820898053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.882153983254674,7.882153983254674,7.882153983254674,7.882153983254674,7.882153983254674,7.882153983254674,7.882153983254674,7.882153983254674,7.882153983254674,7.882153983254674,7.882153983254674,7.882153983254674,7.882153983254674
"['Feb', 'Jan', 'Mar', 'Apr']",51.44384829246128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
"['Mar', 'Apr', 'Feb', 'Jan']",43.67537316707828,0.0,0.0,0.0,0.0,0.0,0.0,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806,96.2707772474806
"['Jan', 'Feb', 'Apr', 'Mar']",40.96491238820924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1097102537848325,3.1097102537848325,3.1097102537848325,3.1097102537848325,3.1097102537848325,3.1097102537848325,3.1097102537848325,3.1097102537848325,3.1097102537848325
"['Jan', 'Apr', 'Feb', 'Mar']",35.951793966839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.98274820898053,52.98274820898053,52.98274820898053,52.98274820898053,52.98274820898053,52.98274820898053,52.98274820898053,52.98274820898053,52.98274820898053,52.98274820898053,52.98274820898053,52.98274820898053
"['Apr', 'Jan', 'Mar', 'Feb']",28.430699836109614,0.0,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083,2.3259812156393083
"['Jan', 'Mar', 'Apr', 'Feb']",27.60778474483087,0.0,0.0,0.0,0.0,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424,5.26427415847424
"['Apr', 'Feb', 'Jan', 'Mar']",26.31248387461518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.951793966839,35.951793966839,35.951793966839,35.951793966839,35.951793966839,35.951793966839,35.951793966839,35.951793966839,35.951793966839,35.951793966839,35.951793966839
"['Feb', 'Jan', 'Apr', 'Mar']",26.144138629561827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.96491238820924,40.96491238820924,40.96491238820924,40.96491238820924,40.96491238820924,40.96491238820924,40.96491238820924,40.96491238820924
