,Ord(BERT_SORT),Ord(OrdinalEncoder),Diff_Ord,Acc(BERT_Sort),Acc(OrdinalEncoder),Diff_Acc
uci-audiology-original:1,0.92,0.76,0.16,0.6,0.0,0.6
uci-audiology-original:3,1.0,0.5,0.5,1.0,0.0,1.0
uci-audiology-original:4,1.0,0.5,0.5,1.0,0.0,1.0
uci-audiology-original:5,1.0,0.556,0.444,1.0,0.0,1.0
uci-audiology-original:7,1.0,0.5,0.5,1.0,0.0,1.0
uci-audiology-original:58,1.0,0.5,0.5,1.0,0.0,1.0
uci-audiology-original:59,1.0,0.5,0.5,1.0,0.0,1.0
uci-audiology-original:63,0.84,0.76,0.08,0.4,0.2,0.2
cat-in-the-dat-ii:ord_1,0.76,0.68,0.08,0.0,0.2,-0.2
cat-in-the-dat-ii:ord_2,0.944,0.722,0.222,0.667,0.333,0.333
bank:marital,0.778,0.556,0.222,0.333,0.333,0.0
bank:education,1.0,1.0,0.0,1.0,1.0,0.0
bank:month,0.736,0.722,0.014,0.083,0.0,0.083
uci_car_evaluation:vhigh,0.75,0.75,0.0,0.0,0.25,-0.25
uci_car_evaluation:vhigh.1,1.0,0.75,0.25,1.0,0.25,0.75
uci_car_evaluation:2,1.0,1.0,0.0,1.0,1.0,0.0
uci_car_evaluation:2.1,1.0,1.0,0.0,1.0,1.0,0.0
uci_car_evaluation:small,1.0,0.556,0.444,1.0,0.333,0.667
uci_car_evaluation:low,0.778,0.556,0.222,0.333,0.0,0.333
uci_car_evaluation:unacc,0.75,0.75,0.0,0.0,0.25,-0.25
uci_Coil_1999_Competition_Data:0,0.625,0.75,-0.125,0.0,0.25,-0.25
uci_Coil_1999_Competition_Data:1,1.0,0.556,0.444,1.0,0.333,0.667
uci_Coil_1999_Competition_Data:2,0.778,0.556,0.222,0.333,0.0,0.333
uci-automobile:5,1.0,0.5,0.5,1.0,0.0,1.0
uci-automobile:15,0.837,0.633,0.204,0.143,0.143,0.0
uci_labor-relations:0,1.0,1.0,0.0,1.0,1.0,0.0
uci_labor-relations:11,0.778,0.778,0.0,0.333,0.333,0.0
uci_Nursery:0,0.778,0.556,0.222,0.333,0.333,0.0
uci_Nursery:1,0.76,0.68,0.08,0.2,0.2,0.0
uci_Nursery:2,0.75,0.5,0.25,0.25,0.0,0.25
uci_Nursery:4,0.778,0.778,0.0,0.333,0.333,0.0
uci_Nursery:6,0.778,0.778,0.0,0.333,0.333,0.0
uci_Nursery:8,0.76,0.92,-0.16,0.0,0.6,-0.6
uci_Post-Operative-Patient:0,1.0,0.556,0.444,1.0,0.0,1.0
uci_Post-Operative-Patient:1,0.778,0.556,0.222,0.333,0.0,0.333
uci_Post-Operative-Patient:3,0.778,0.556,0.222,0.333,0.0,0.333
uci_Post-Operative-Patient:5,1.0,0.778,0.222,1.0,0.333,0.667
uci_Post-Operative-Patient:6,1.0,0.778,0.222,1.0,0.333,0.667
uci_Pittsburgh_Bridges:3,0.75,0.875,-0.125,0.25,0.5,-0.25
uci_Pittsburgh_Bridges:5,0.778,0.556,0.222,0.333,0.333,0.0
uci_Pittsburgh_Bridges:9,0.778,0.556,0.222,0.333,0.333,0.0
uci_Pittsburgh_Bridges:10,1.0,0.556,0.444,1.0,0.333,0.667
